max_number;door_length;wall_length;area;nb_door;nb_wall;cooling;heating
546;708;3085;12000;11;38;192681;1450
412;371;1566;8000;8;25;78208;631
493;447;2655;13000;12;58;330683;2414
1045;1569;7432;10000;11;34;110480;867
94;93;461;6960;4;21;64332;531
978;1826;6202;9000;13;31;94779;759
1634;1157;6263;3000;6;13;26188;242
568;566;2478;4000;5;16;37888;331
1411;1102;10211;7000;13;36;65268;556
446;670;2779;11000;13;38;139733;1075
1016;565;3713;5000;4;19;44955;392
388;152;1248;5980;4;23;53357;450
449;646;3417;14000;13;49;426585;3070
790;789;3572;5000;6;25;44490;381
607;365;2352;3000;4;15;26864;244
383;238;1365;6000;7;27;51919;451
392;247;1715;8000;8;28;76266;621
589;1194;4724;10000;16;39;113527;890
396;324;1903;10000;8;34;111089;873
594;901;3561;14000;14;46;409983;2959
395;437;1968;7000;9;24;63705;525
477;318;1883;11000;9;34;141125;1087
336;122;1113;3000;3;13;26303;254
379;408;1830;7000;8;30;62245;515
621;579;2624;6000;7;21;53330;452
861;1239;4947;14000;13;44;406819;2927
634;1043;3583;8000;12;28;75500;611
380;592;2594;14000;14;46;424455;3065
578;1069;3896;11000;14;43;143814;1098
772;1106;5964;17000;13;54;1134411;7990
990;1077;5452;13000;10;38;289138;2123
419;354;1690;6000;7;21;52549;442
507;676;2697;11000;11;32;141318;1112
276;207;1307;8000;9;28;76427;610
657;1376;4077;8000;11;28;75976;615
418;328;1499;6000;7;19;55352;477
1013;1945;6569;14000;15;46;415330;2984
398;59;1088;3000;2;15;25727;252
616;725;3481;14000;13;46;411416;2971
279;191;1071;8000;10;32;77810;625
1270;787;4874;8000;7;28;78452;635
1174;1778;8564;15000;15;62;526390;3773
346;479;2466;13000;9;39;315998;2295
493;447;2655;14000;12;58;424865;3071
745;1259;4460;14000;16;42;411119;2967
632;405;2710;6000;5;24;52783;440
337;707;2386;9000;11;33;93705;749
380;379;1506;8000;9;27;80366;649
1101;1387;5583;8000;11;32;74962;612
684;650;2853;8000;9;25;80905;650
372;513;2129;13000;11;37;307615;2234
598;1176;4053;11000;12;37;140925;1084
797;554;3176;11000;8;33;145403;1117
558;466;2154;5000;6;18;45576;393
539;557;2197;13000;12;41;278906;2050
1134;1376;6330;7000;8;23;63887;535
406;515;2791;12000;14;44;186009;1396
424;503;2576;13000;13;45;320348;2331
